id,IATA,en-GB,latitude,longitude,vibes,country
128667890,LHE,Lahore,31.5207607,74.4105177,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Pakistan
129055700,LHG,Lightning Ridge,-29.458333,147.983333,,Australia
129054939,LHI,Lereh,-3.133333,139.9,,Indonesia
129057995,LHK,Guanghua,32.266667,111.633333,,China
217078666,LHN,Linhares Municipal,-19.356982053643737,-40.06991919266166,,Brazil
129054389,LHP,Lehu,-6.5,155.7,,Papua New Guinea
95565050,LHR,London Heathrow,51.471389,-0.452778,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",United Kingdom
129057091,LHS,Las Heras,-32.85,-68.816667,,Argentina
129056995,LHV,Lock Haven,41.133333,-77.45,,United States
128667114,LHW,Lanzhou Zhongchuan International,36.508485406213865,103.6187240161614,,China
129056996,LIA,Liangping,30.816667,107.7,,China
129054387,LIB,Limbunya,-17.2,129.8,,Australia
129055139,LIC,Limon,39.266667,-103.683333,,United States
129053602,LID,Leiden Valkenburg,52.16614,4.41794,,Netherlands
129056236,LIE,Libenge,3.623611,18.638889,,Democratic Republic of the Congo
129052199,LIF,Ouanaham,-20.77460264328698,167.2398250932538,,France
95674136,LIG,Limoges,45.861944,1.182222,,France
104120286,LIH,Lihue,21.979167,-159.345833,,United States
129055699,LII,Mulia,-3.733333,137.966667,,Indonesia
129057994,LIK,Likiep Island,9.823687662766934,169.30994871206644,,Marshall Islands
95566276,LIL,Lille,50.564444,3.088056,,France
95673342,LIM,Lima,-12.024882,-77.110634,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Peru
95565067,LIN,Milan Linate,45.441667,9.277778,,Italy
129055819,LIO,Limon,9.955833,-83.021111,,Costa Rica
129057090,LIP,Lins,-21.666667,-49.75,,Brazil
129052623,LIQ,Lisala,2.172222,21.495833,,Democratic Republic of the Congo
128668788,LIR,Liberia,10.589722,-85.55,,Costa Rica
95565055,LIS,Lisbon,38.7755769,-9.1353882,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Portugal
95674054,LIT,Little Rock,34.729167,-92.234444,,United States
129054386,LIV,Livengood,65.516667,-148.666667,,United States
129055138,LIW,Loikaw,19.688611,97.216944,,Myanmar
129052808,LIX,Likoma Island,-12.083333,34.733333,,Malawi
129053601,LIY,Hinesville,31.85,-81.6,,United States
129056235,LIZ,Limestone,42.033333,-78.633333,,United States
129053214,LJA,Lodja,-3.463657,23.6181,,Democratic Republic of the Congo
128668542,LJG,Lijiang Sanyi International,26.66688867796317,100.24805589085364,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""1""}",China
129052198,LJN,Lake Jackson,29.11024,-95.46216,,United States
95673950,LJU,Ljubljana,46.224722,14.460833,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""1""}",Slovenia
128667790,LKA,Larantuka,-8.35,122.983333,,Indonesia
128668795,LKB,Lakeba Island,-18.20337067048245,-178.81434838067804,,Fiji
129055698,LKC,Lekana,-2.316667,14.6,,Congo-Brazzaville
129054937,LKD,Lakeland Downs,-15.816667,144.95,,Australia
128668230,LKE,Seattle Lake Union SPB,47.6275,-122.331667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",United States
129055376,LKG,Lokichoggio,4.233333,34.35,,Kenya
128667569,LKH,Long Akah,3.3,114.783,,Malaysia
216767003,LKI,Lasikin,2.4108225719560528,96.3269336469255,,Indonesia
129054028,LKK,Kulik Lake,59.816667,-158.833333,,United States
128667488,LKL,Lakselv,70.067778,24.973611,,Norway
222870288,LKM,Bolaang Mongondow,0.8887334643844035,124.03291066632244,,Indonesia
128667962,LKN,Leknes,68.153611,13.608889,,Norway
128668794,LKO,Lucknow,26.760278,80.880278,,India
129057089,LKP,Lake Placid,44.283333,-73.983333,,United States
129052622,LKR,Las Khoreh,11.15,48.2,,Somaliland
129056993,LKS,Lakeside,30.500833,-98.146944,,United States
129054385,LKT,Lakota,5.833333,-5.5,,Côte d'Ivoire
129055137,LKU,Lake Rudolf,3.416667,35.883333,,Kenya
129053600,LKV,Lakeview,42.166667,-120.4,,United States
128668796,LKY,Lake Manyara,-3.37625,35.81852,,Tanzania
129056234,LKZ,Brandon,52.40933,0.561,,United Kingdom
95674400,LLA,Lulea Kallax,65.5447,22.1278,,Sweden
135337738,LLB,Libo,25.44458589976913,107.96719798169084,,China
129052197,LLE,Malelane,-25.466667,31.566667,,South Africa
128667888,LLF,LingLing,26.34133122090666,111.61732794008203,,China
129054936,LLH,Las Limas,15.443056,-87.898889,,Honduras
128667113,LLI,Lalibela,12.016667,39.066667,,Ethiopia
200525982,LLJ,Silampari,-3.283912,102.914552,,Indonesia
128667233,LLK,Lankaran International,38.74203,48.824093,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Azerbaijan
129054027,LLL,Lissadell,-16.566667,128.633333,,Australia
216767147,LLM,Lomlom,-10.297778,166.328056,,Solomon Islands
129052621,LLN,Kelila,-3.75,138.666667,,Indonesia
158829151,LLO,Lagaligo,-3.084722,120.245278,,Indonesia
129054384,LLP,Linda Downs,-23.166667,138.7,,Australia
129055136,LLS,Las Lomitas,-24.716667,-60.583333,,Argentina
128668797,LLU,Alluitsup Paa,60.464167,-45.568889,,Greenland
135337739,LLV,Lvliang,37.68139,111.1425,,China
99539640,LLW,Lilongwe,-13.783333,33.783333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}",Malawi
129053599,LLX,Lyndonville,44.57201,-72.01611,,United States
129056233,LLY,Mount Holly,39.916667,-74.75,,United States
128668541,LMA,Lake Minchumina,63.883333,-152.316667,,United States
129052196,LMB,Salima,-13.75,34.583333,,Malawi
128668798,LMC,La Macarena,2.1755524921157114,-73.78667009926359,,Colombia
129057087,LMD,Los Menucos,-40.833333,-68.133333,,Argentina
129052620,LME,Le Mans Arnage,47.948611,0.201667,,France
129056991,LMG,Lamassa,-4.7,152.75,,Papua New Guinea
129057992,LMH,Limon,15.866667,-85.55,,Honduras
129056992,LMI,Lumi,-3.483333,142.033333,,Papua New Guinea
129054026,LML,Lae Island,8.916667,166.25,,Marshall Islands
128667789,LMM,Los Mochis,25.685278,-109.080833,,Mexico
128668799,LMN,Limbang,4.8083,115.01,,Malaysia
128667568,LMP,Lampedusa,35.5,12.616667,,Italy
129054383,LMQ,Marsa Brega,30.379444,19.579444,,Libya
129053598,LMR,Lime Acres,-28.366667,23.45,,South Africa
129056232,LMS,Louisville,33.116667,-89.05,,United States
95674296,LMT,Klamath Falls,42.163056,-121.735833,,United States
199775240,LMU,Letung,2.964167,105.754444,,Indonesia
213950190,LMV,Madivaru,5.45799,73.37036,,Maldives
129052195,LMX,Lopez De Micay,3.05,-77.55,,Colombia
129056136,LMY,Lake Murray,-7.00992,141.494,,Papua New Guinea
129056137,LMZ,Palma,-10.766667,40.483333,,Mozambique
129054935,LNA,West Palm Beach Palm Beach County,26.59285,-80.08504,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",United States
128667487,LNB,Lamen Bay,-16.583333,168.183333,,Vanuatu
129054934,LNC,Lengbati,-6.366667,147.366667,,Papua New Guinea
129057990,LND,Lander,42.833333,-108.733333,,United States
128668800,LNE,Lonorore,-15.8656,168.172,,Vanuatu
129054025,LNF,Munbil,-4.866667,141.216667,,Papua New Guinea
129057086,LNG,Lese,-8.166667,146.116667,,Papua New Guinea
129052619,LNH,Lake Nash,-20.95,138.0,,Australia
128667886,LNJ,Lincang,23.738889,100.024167,,China
95673817,LNK,Lincoln,40.845833,-96.761389,,United States
162081100,LNL,Cheng Xian,33.788,105.797,,China
129056990,LNM,Langimar,-7.216667,146.216667,,Papua New Guinea
129054382,LNN,Willoughby,41.633333,-81.416667,,United States
129055164,LNO,Leonora,-28.883333,121.3,,Australia
129057991,LNP,Wise,36.986991,-82.531443,,United States
129055135,LNQ,Loani,-10.433333,150.15,,Papua New Guinea
129055134,LNR,Lone Rock,43.21138,-90.18179,,United States
129053403,LNS,Lancaster,40.121111,-76.299722,,United States
200548646,LNU,Kolonel RA Bessing,3.575278,116.619722,,Indonesia
128667112,LNV,Kunaye,-3.0432865009834984,152.62719879636947,,Papua New Guinea
129053597,LNX,Smolensk,54.8,32.05,,Russia
128667232,LNY,Lanai City,20.784722,-156.949444,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",United States
95674060,LNZ,Linz,48.234444,14.193611,,Austria
129056231,LOA,Lorraine,-18.9932995,139.9069977,,Australia
129052194,LOB,Los Andes,-29.966667,-71.533333,,Chile
129056135,LOC,Lock,-33.55,135.75,,Australia
128668801,LOD,Longana,-15.316667,167.966667,,Vanuatu
128668692,LOE,Loei,17.45,101.733333,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}",Thailand
129054933,LOF,Loen,7.7575,168.2357,,Marshall Islands
129057989,LOG,Longview,46.116667,-122.883333,,United States
128668341,LOH,Loja,-3.993611,-79.373611,,Ecuador
129054024,LOI,Lontras,-27.159722,-49.542778,,Brazil
128667234,LOK,Lodwar,3.15,35.6,,Kenya
129057085,LOL,Lovelock,40.058333,-118.566667,,United States
129052618,LOM,Lagos de Moreno,21.266667,-101.933333,,Mexico
128668802,LOO,Laghouat,33.833333,2.983333,,Algeria
128667788,LOP,Lombok International,-8.757322,116.276675,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}",Indonesia
129056989,LOQ,Lobatse,-25.190278,25.681944,,Botswana
129054381,LOR,Ozark Lowe Army Heliport,31.357000922068917,-85.74909631631472,,United States
95673335,LOS,Lagos,6.588889,3.326389,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}",Nigeria
129055133,LOT,Lewis Lockport,41.583333,-88.05,,United States
129053596,LOU,Louisville Bowman Field,38.22813,-85.66302,,United States
129056230,LOV,Monclova,26.95573,-101.47014,,Mexico
129052193,LOW,Louisa,38.010163,-77.967653,,United States
129056134,LOX,Los Tablones,14.583263,-90.527463,,Guatemala
129054932,LOY,Loyangalani,2.75,36.716667,,Kenya
129057988,LOZ,Corbin-London,37.087222,-84.076944,,United States
